Reference,Value,Footprint,Count,Datasheet
"C2, C4",22pF,MICROBUILDER_0603-NO,2,
"C3, C6, C8",10~F,MICROBUILDER_0805-NO,3,
"C5, C13",10uF,MICROBUILDER_0805-NO,2,
"C7, C10, C11, C12, C14, C15",1uF,MICROBUILDER_0603-NO,6,
CHG40,ORANGE,MICROBUILDER_CHIPLED_0805_NOOUTLINE,1,
"D+40, D-40","TPB1,27",TESTPAD_B1_27,2,
D4,MBR120,MICROBUILDER_SOD-123,1,
JP1,~,MICROBUILDER_1X16_ROUND,1,
JP3,~,MICROBUILDER_1X12_ROUND,1,
L2,10uH,MICROBUILDER_INDUCTOR_1007,1,
L40,RED,MICROBUILDER_CHIPLED_0805_NOOUTLINE,1,
LED1,WS2812B3535,MICROBUILDER_LED3535,1,
Q3,DMG341,MICROBUILDER_SOT23-R,1,
R2,1K,MICROBUILDER_0603-NO,1,
"R3, R4, R5, R6",10K,MICROBUILDER_0603-NO,4,
R7,2.2K,MICROBUILDER_0603-NO,1,
R8,"10K"" H 14600 4450 40  0000 L BNN
",MICROBUILDER_0603-NO,1,
R9,100K,MICROBUILDER_RESPACK_4X0603_NO,1,
SJ1,~,MICROBUILDER_SOLDERJUMPER_CLOSEDWIRE,1,
SW1,KMR2,MICROBUILDER_BTN_KMR2_4.6X2.8,1,
"TP1, TP2",~,MICROBUILDER_TESTPOINT_ROUND_1.5MM,2,
U$14,ATSAMD51J,MICROBUILDER_PQFN64-1,1,
U1,2MB Flash,MICROBUILDER_USON8,1,
U2,AP2112-3.3,MICROBUILDER_SOT23-5,1,
U3,MCP73831T-2ACI/OT,MICROBUILDER_SOT23-5,1,
"VP_0, VP_1, VP_2, VP_3, VP_4, VP_5, VP_6, VP_7, VP_8, VP_9, VP_10, VP_11, VP_12",VPDEV0,VPAD_VPAC0,13,
"VP_13, VP_14, VP_15, VP_16, VP_17, VP_18, VP_19, VP_20, VP_21, VP_22, VP_23, VP_24, VP_25, VP_26, VP_27, VP_31, VP_32",VPDEV1,VPAD_VPAC1,17,
"VP_28, VP_29, VP_30, VP_33, VP_34, VP_35, VP_36, VP_37, VP_38, VP_39, VP_40, VP_41, VP_42, VP_43, VP_44, VP_45, VP_46, VP_47, VP_48, VP_49, VP_50, VP_51, VP_52, VP_53, VP_54, VP_55, VP_56, VP_57",VPDEV2,VPAD_VPAC2,28,
X1,JSTPH,MICROBUILDER_JSTPH2,1,
X2,32.768,ADAFRUIT2_XTAL3215,1,
X3,microUSB,MICROBUILDER_4UCONN_20329_V2,1,
